2003,TRUE,2015,2,1,刘爱玉
1994,FALSE,1995,2,0,刘伯红
1993,FALSE,1993,1,0,刘传江
2007,FALSE,2010,4,0,刘春荣
2002,FALSE,2012,2,0,刘芳
2007,FALSE,2007,1,0,刘飞
1989,FALSE,2007,4,0,刘豪兴
1993,FALSE,2002,6,0,刘继同
2010,FALSE,2010,1,0,刘建娥
2012,FALSE,2012,1,0,刘建洲
1991,TRUE,2006,7,4,刘精明
1994,TRUE,2013,8,3,刘军
2010,TRUE,2012,2,1,刘军强
2013,FALSE,2013,1,0,刘力
1987,TRUE,2015,6,3,刘林平
1990,FALSE,1990,1,0,刘明
2004,TRUE,2005,2,1,刘能
2009,FALSE,2009,1,0,刘鹏
2006,FALSE,2008,2,0,刘平
1997,FALSE,1997,1,0,刘倩
2006,FALSE,2006,1,0,刘擎
1997,FALSE,2008,9,0,刘少杰
1997,TRUE,2014,11,1,刘世定
2010,FALSE,2010,1,0,刘硕
2005,FALSE,2010,3,0,刘思达
2010,FALSE,2010,1,0,刘伟
1990,FALSE,2003,5,0,刘小京
1995,TRUE,2011,11,6,刘欣
2007,FALSE,2007,1,0,刘雪婷
1993,FALSE,1993,1,0,刘亚平
2003,FALSE,2013,5,0,刘亚秋
2008,TRUE,2011,2,1,刘岩
1986,FALSE,1991,4,0,刘英
2006,FALSE,2013,7,0,刘拥华
2005,TRUE,2005,1,1,刘勇利
2006,FALSE,2009,5,0,刘玉照
2006,FALSE,2006,1,0,刘长江
2010,FALSE,2010,1,0,刘长林
2014,TRUE,2014,1,1,刘长喜
2014,FALSE,2014,1,0,刘正强
2010,TRUE,2015,2,1,刘子曦
1986,FALSE,2010,6,0,刘祖云
2009,TRUE,2009,1,1,龙书芹
2009,TRUE,2011,2,1,卢春龙
2011,TRUE,2011,2,2,卢春天
1987,TRUE,2001,5,1,卢汉龙
2006,TRUE,2014,2,1,卢晖临
1992,TRUE,2000,4,1,卢淑华
2008,FALSE,2013,4,0,卢云峰
1992,FALSE,1992,1,0,鲁品越
2009,FALSE,2014,3,0,陆铭
1989,FALSE,2011,10,0,陆学艺
2006,FALSE,2007,2,0,路英浩
2007,TRUE,2007,1,1,栾博
1988,TRUE,2010,4,1,罗根
2001,FALSE,2013,5,0,罗红光
2007,TRUE,2008,2,1,罗家德
2001,FALSE,2013,3,0,罗琳
2009,TRUE,2009,1,1,罗忠勇
2000,FALSE,2011,5,0,吕炳强
2010,FALSE,2010,1,0,吕大乐
2007,FALSE,2012,2,0,吕德文
2005,TRUE,2013,5,1,吕鹏
2002,FALSE,2011,3,0,吕涛
2005,FALSE,2010,3,0,吕文江
1993,FALSE,2000,2,0,麻国庆
2009,TRUE,2011,2,1,马春华
2015,TRUE,2015,1,1,马丹
2015,FALSE,2015,1,0,马得勇
2012,TRUE,2012,1,1,马骏
2010,TRUE,2014,2,1,马磊
2010,TRUE,2010,1,1,马明洁
1990,TRUE,2010,6,1,马戎
2009,TRUE,2010,2,1,马雪峰
1986,FALSE,1992,3,0,马有才
2002,FALSE,2014,7,0,毛丹
2008,FALSE,2013,3,0,孟庆延
2012,TRUE,2012,1,1,孟天广
2009,TRUE,2011,3,1,闵学勤
1991,FALSE,1993,2,0,穆光宗
1987,FALSE,1988,2,0,穆怀中
2008,FALSE,2008,1,0,倪玉珍
2012,TRUE,2012,1,1,牛建林
2009,FALSE,2011,2,0,欧阳静
2005,FALSE,2005,1,0,潘鸣啸
1993,TRUE,2011,9,1,潘绥铭
2007,FALSE,2011,2,0,潘天舒
1999,TRUE,2014,4,1,潘毅
1987,FALSE,2004,11,0,潘允康
2005,FALSE,2007,2,0,潘泽泉
1987,FALSE,1989,2,0,庞树奇
1988,FALSE,2006,3,0,彭华民
1996,FALSE,1996,1,0,彭庆恩
1998,FALSE,1999,3,0,彭泗清
1996,FALSE,2014,4,0,彭希哲
2012,FALSE,2012,1,0,彭铟旎
1998,TRUE,2011,4,4,彭玉生
1993,FALSE,1999,3,0,平萍
2012,TRUE,2014,3,3,齐亚强
1997,TRUE,2011,3,1,钱民辉
1996,TRUE,2003,2,1,乔晓春
2011,TRUE,2012,3,3,秦广强
2006,FALSE,2006,1,0,秦海霞
1998,FALSE,2000,4,0,秦晖
1991,TRUE,2012,8,1,丘海雄
2014,FALSE,2014,1,0,邱林川
